Fecha,Medio de comunicación,Título de la nota,Enlance,Resumen
06/sept/2020,Animal político,Marcha de mujeres en Ciudad Juárez contra la violencia policial culmina con represión,https://www.animalpolitico.com/2020/09/marcha-mujeres-represion-juarez-golpes-abuso/,"En medio de una marcha feminista en contra el abuso policiaco, policías municipales de Ciudad Juárez realizaron una redada y detuvieron a 28 mujeres, cuatro de ellas menores de edad, presuntamente por daños a terceros. También se informó que durante las acciones ocho hombres fueron arrestados. La Comisión Nacional para Prevenir y Erradicar la Violencia contra las Mujeres (Conavim), el Instituto Nacional de las Mujeres (Inmujeres), la Comisión Estatal de los Derechos Humanos de Chihuahua (CEDH) y el Instituto Chihuahuense de las Mujeres (Ichmujeres) expresaron su “preocupación” por la actuación de la policía municipal y el uso excesivo de la fuerza contra las detenidas."
06/sept/2020,Lado B,Marcha feminista culmina con represión de la policía de Ciudad Juárez,https://www.ladobe.com.mx/2020/09/marcha-feminista-culmina-con-represion-de-la-policia-de-ciudad-juarez/,"Los hechos ocurrieron cerca de las 18:30 horas de este sábado sobre la avenida Juárez, en la zona centro, cuando las manifestantes se dirigían hacia la Cruz de Clavos, donde permanecen colgados los nombres de víctimas de asesinato y desaparición. La marcha se convocó en sororidad con grupos feministas de Guanajuato, donde el pasado 22 de agosto policías municipales torturaron y agreden sexualmente a adolescentes."
06/sept/2020,Yo ciudadano,"Marcha de mujeres culmina con represión de la policía de Ciudad Juárez
",https://yociudadano.com.mx/noticias/marcha-de-mujeres-culmina-con-represion-de-la-policia-de-ciudad-juarez/,"De acuerdo con varios testimonios, los agentes municipales irrumpieron el contingente feminista y persiguieron a las mujeres para arrestarlas, justo cuando algunas de ellas realizaban pintas y gritaban consignas contra el alcalde Armando Cabada. Algunas fueron golpeadas con violencia durante la detención, denunciaron. La Secretaría de Seguridad Pública Municipal no dio información sobre estas acciones."
7/sept/2020,CENCOS,Marcha de mujeres en Ciudad Juárez contra la violencia policial culmina con represión,,
06/sept/2020,CUADRATIN MÉXICO,Repudian represión policial en manifestación feminista de Ciudad Juárez,https://mexico.quadratin.com.mx/repudian-represion-policial-en-manifestacion-feministas-de-ciudad-juarez/,"Por ello, la Comisión Nacional para Prevenir y Erradicar la Violencia contra las Mujeres (Conavim), el Instituto Nacional de las Mujeres (Inmujeres), la Comisión Estatal de los Derechos Humanos de Chihuahua (CEDH) y el Instituto Chihuahuense de las Mujeres (Ichmujeres), llamaron a las autoridades municipales de Ciudad Juárez, para que las y los agentes de seguridad pública realicen su labor con apego irrestricto a los derechos humanos de las personas y a los protocolos establecidos en materia de seguridad y protección de la vida de las mujeres y las niñas."
08/sept/2020,BORDER HUB,Recibe CEDH de Chihuahua quejas de 18 mujeres por represión durante marcha feminista en Juárez; abre investigación,https://www.borderhub.org/noticias/recibe-cedh-de-chihuahua-quejas-de-18-mujeres-por-represion-durante-marcha-feminista-en-juarez-abre-investigacion/,"Sin embargo, ese mismo día el organismo derechohumanista condenó – junto con Conavim, Inmujeres e Ichmujeres– la represión policial y exigió al gobierno de Armando Cabada Alvídrez investigar a los policías agresores en la marcha de mujeres. Este lunes precisó que sus visitadores no estuvieron durante la actuación policial, sino hasta cuando las detenidas estuvieron en la estación de la policía."
08/sept/2020,La verdad Juaréz,"Recibe CEDH quejas de 18 mujeres por represión en marcha feminista, abre investigación",https://laverdadjuarez.com/index.php/2020/09/07/recibe-cedh-quejas-de-18-mujeres-por-represion-en-marcha-feminista-abre-investigacion/,
06/sept/2020,pie de pagina,Marcha de mujeres culmina con represión de la policía de Ciudad Juárez,https://piedepagina.mx/marcha-de-mujeres-culmina-con-represion-de-la-policia-de-ciudad-juarez/,"Tras los hechos, “las colectivas” convocaron a un plantón frente a la estación de policía en el Distrito Universidad, ubicado en eje vial Juan Gabriel y la calle Pedro N. García. Ahí se concentraron cerca de 50 personas que exigían la libertad inmediata de las detenidas y denunciaron que los agentes mantenían incomunicadas a las mujeres, que les quitaron sus celulares y borraron los videos de las transmisiones en vivo que estaban realizando en sus redes sociales."
05/septiembre/2020,La Jornada,Detienen a 40 feministas que protestaban en Chihuahua,https://www.jornada.com.mx/ultimas/estados/2020/09/05/detienen-a-40-feministas-que-protestaban-en-chihuahua-127.html,"Alrededor de 40 mujeres que protestaban en la zona centro de Ciudad Juárez por crímenes de género y de personas de la comunidad LGTB fueron detenidas por elementos de la Policía Municipal. El colectivo Hijas de su Maquilera Madre informó en sus redes que ""Ha habido represión policiaca en la manifestación llevada en estos momentos en la zona centro de Ciudad Juárez, tomaron los celulares y cortaron la transmisiones en vivo que algunas compañeras estaban realizando”. La protesta inició alrededor de las 18:00 horas locales y fue convocada a través de la red social Facebook por el colectivo Hijas de su Maquilera Madre."
06/septiembre/2020,Regeneración,Ciudad Juárez: Reprimen y detienen a feministas que protestaban abuso policiaco,https://regeneracion.mx/ciudad-juarez-reprimen-y-detienen-a-feministas-que-protestaban-abuso-policiaco/,La manifestación tenía como propósito expresar apoyo a los grupos feministas de Guanajuato y protestar la tortura y agresión sexual de policías municipales contra adolescentes el pasado 22 de agosto.
