Fecha,Medio de comunicación,Título de la nota,Enlance,Descripción
24/08/2020,W radio. 7_15 am gabriela barca _Omar,,,
22/08/2020,Tercera Vía,Represión y detenciones arbitrarias en marcha de mujeres en León Guanajuato,https://terceravia.mx/2020/08/represion-y-detenciones-arbitrarias-en-marcha-de-mujeres-en-leon-guanajuato/,"Una centena de mujeres feministas se congregaron en el Arco de la Calzada, en León Guanajuato, para exigir justicia para Evelyn, una joven que denunció hace pocos días haber sido víctima de una agresión sexual por parte de un elemento de la policía, quien la tocó por debajo de su falda. La manifestación inició a las seis de la tarde, donde colectivos feministas partieron sobre la calle Madero, rumbo a la Plaza Principal. Sin embargo, diversas voces se han pronunciado por la agresión de policías a las manifestantes, incluyendo a menos a cuatro reporteras de medios locales en la Ciudad de León, quienes fueron golpeadas. "
24/08/2020,Zona Franca,Colectivos feministas solicitan destitución de Bravo Arrona como titular de la SSPL,https://zonafranca.mx/politica-sociedad/colectivos-feministas-solicitan-destitucion-de-bravo-arrona-como-titular-de-la-sspl/,
23/08/2020,La Silla Rota,El caso de Evelyn: una historia que alertó a colectivos feministas,https://guanajuato.lasillarota.com/estados/el-caso-de-evelyn-una-historia-que-alerto-a-colectivos-feministas-evelyn-amigos-acoso-sexuales/427068,"Mientras tanto, la Procuraduría de los Derechos Humanos del Estado de Guanajuato abrió un expediente de queja 108/2020-A por la detención de las mujeres durante la manifestación. ""La libre manifestación y la libertad de expresión son derechos fundamentales que deben ser garantizados a todas las personas por las autoridades"", informaron en un comunicado oficial."
24/08/2020,Animal Político (con info de POPLab),"Policías de León, Guanajuato, torturaron y agredieron sexualmente a adolescentes",https://www.animalpolitico.com/2020/08/policias-leon-guanajuato-torturaron-agredieron-sexualmente-adolescentes/,"En otros casos, las manifestantes detenidas fueron reconocidas por los policías en la parada del OptiBus (oruga) del Sistema Integrado de Transporte (SIT), quienes se metieron al sistema de transporte para detenerlas y subirlas a la patrulla. Ahí también privaron de su libertad a mujeres que salían del trabajo. A una madre con su hija la detuvieron en la parada del camión, pese a que nada tenían que ver con la manifestación. A la menor le quitaron sus pertenencias con violencia con todo y ninguna de las dos opuso resistencia."
23/08/2020,El Universal,"Violencia sexual, reacción de policía en León ante la marcha feminista, acusa senadora de Morena",https://www.eluniversal.com.mx/nacion/violencia-sexual-reaccion-de-policia-en-leon-ante-la-marcha-feminista-acusa-senadora-de,"Recordó que la marcha, conformada mayoritariamente de jóvenes mujeres, se llevó a cabo para protestar por un caso de violencia sexual cometido por elementos de la policía municipal contra una joven, esto en las inmediaciones de la caseta de policía de la Plaza del Expiatorio en el centro de la ciudad. Denunció que la reacción de la policía ante la marcha fue actuar con más violencia sexual, con más detenciones arbitrarias e incluso con uso desproporcionado de la fuerza, ya que se realizaron 23 detenciones arbitrarias bajo el argumento de que las manifestantes habían “cometido infracciones al Reglamento de Policía y Vialidades”."
24/08/2020,La Jornada,Indaga 'ombudsman' estatal represión a mujeres en León,https://www.jornada.com.mx/ultimas/estados/2020/08/24/indaga-ombudsman-estatal-represion-a-mujeres-en-leon-5866.html,"La Procuraduria de Derechos Humanos del estado de Guanajuato informó que abrió el expediente de queja 108/2020-A, por los hechos registrados esta noche (la del sábado) en la ciudad de León durante una manifestación de mujeres, que han sido denunciados por diversas organizaciones civiles y compañeras de personas que fueron detenidas."
23/08/2020,López Dóriga Digital,Reprimen marha feminista en Guanajuato,https://lopezdoriga.com/lopez-doriga-tv/reprimen-marcha-feminista-en-guanajuato/,"En Guanajuato, la policía reprimió una marcha feminista dejando como saldo varias mujeres agredidas y detenidas"
24/08/2020,La Silla Rota,Carta a Derechos Humanos: las 7 peticiones de las feministas en León,https://guanajuato.lasillarota.com/estados/carta-a-derechos-humanos-las-7-peticiones-de-las-feministas-en-leon-manifestacion-sabado-puntos-clave-agresiones/427290,"Es importante decir que durante la manifestación cuatro reporteras fueron agredidas mientras grababan el momento de las detenciones. Justo el día de ayer interpusieron una denuncia ante la Fiscalía de Guanajuato, y hoy se acompañaron de las integrantes del Consejo Estatal de Protección a Periodistas y Personas Defensoras de Derechos Humanos."
24/08/2020,Expansión,Actuación policial en protesta feminista en Guanajuato es cuestionada por abusos,https://politica.expansion.mx/estados/2020/08/24/actuacion-policial-en-protesta-feminista-en-guanajuato-es-cuestionada-por-abusos,"Colectivos feministas, legisladoras y organizaciones de la sociedad civil (OSC) han alzado la voz para denunciar y exigir justicia para las mujeres que salieron a las calles y que fueron víctimas de estas agresiones."
24/08/2020,AM,Difieren políticos sobre actuación de policía en manifestación feminista,https://www.am.com.mx/guanajuato/noticias/Difieren-politicos-sobre-actuacion-de-policia-en-manifestacion-feminista-20200824-0002.html,"Rememoró que la manifestación justo se generó por actos de los cuales se acusa a la policía local y “ya ha  habido muchos casos en los que la policía municipal de León es señalada, los mandos están mandando señales equivocadas en el uso de los protocolos”."
