Fecha,Medio de comunicación,Título de la nota,Enlance,Resumen
10/11/2020,animal político,"Disparos en protesta en Cancún fueron acción planeada, acusa Red Feminista; piden salida de Capella",https://www.animalpolitico.com/2020/11/disparos-protesta-cancun-red-feminista-salida-capella/,"La Red Feminista Quintanarroense afirmó que la dispersión con balazos de la protesta que se realizó este lunes en Cancún para exigir justicia por el feminicidio de ‘Alexis’ no fue una reacción instantánea, sino que fue “planeada estratégicamente y realizada por órdenes de mandos superiores de la policía”."
11/11/2020,animal político,Mujeres detenidas durante protesta en Cancún denuncian agresiones sexuales de los policías,https://www.animalpolitico.com/2020/11/mujeres-detenidas-cancun-agresiones-sexuales-policias/,"María Elena cuenta que las jalonearon para llevarlas hacia adentro del Palacio Municipal. “Yo les decía que no me jalaran, que estaba cooperando y no había hecho nada. Cada que decía algo, me soltaban un golpe. Cuando íbamos por la parte de atrás del ayuntamiento, me empezaron a pegar en las costillas, me sacaron el aire. Medio podía caminar. Un policía me agarró del glúteo con su manaza, sus dedos llegaron hasta mi vagina, así me quiso levantar. Me hice bolita y casi a rastras me metieron”. "
09/11/2020,animal político,Policías disparan para dispersar protestas por asesinatos de mujeres en Cancún; al menos 4 heridos,https://www.animalpolitico.com/2020/11/alexis-bianca-feminicidio-cancun-protestas/,"Según se observa en un video, justo cuando un hombre encapuchado prende fuego a una especie de barrera de madera que blinda a las instalaciones del ayuntamiento, un grupo de policías municipales se abre paso entre manifestantes lanzando disparos al aire y al piso."
09/11/2020,Comisión derechos humanos estado de Quintana Roo,Reprueba y condena Derechos Humanos uso excesivo de la fuerza pública.,http://www.derechoshumanosqroo.org.mx/portal/portal/include/Notas.php?IdNota=746,"El Mtro. Marco Antonio Tóh Euán, titular de esta Comisión de los Derechos Humanos del Estado, informó que personal de la CDHEQROO se movilizó para atender a las personas detenidas en las manifestaciones para exigir Justicia para Alexis. En este sentido se atendieron a 6 personas en inmediaciones del palacio del Ayuntamiento de Benito Juárez (Cancún), así como a las 8 personas detenidas en las instalaciones de seguridad pública, mismas que ya se encuentran liberadas."
10/11/2020,Forbes México,Cae secretario de Seguridad de QR por represión a feministas en Cancún,https://www.forbes.com.mx/noticias-secretario-seguridad-quintana-roo-represion-feministas-cancun/,"El secretario de Seguridad Pública de Quintana Roo, Alberto Capella, fue separado de su cargo tras la represión policial a una manifestación de femenistas este lunes por la noche en Cancún."
09/11/2020,Por esto,"Mara Lezama y Magaly Achach, dos historias de represion en cancun",https://www.poresto.net/quintana-roo/2020/11/9/mara-lezama-magaly-achach-dos-historias-de-represion-en-cancun-222129.html,
10/11/2020,El Universal,ONU Mujeres condena represión a protesta feminista en Cancún ,https://www.eluniversal.com.mx/nacion/protesta-feminista-onu-mujeres-condena-represion-balazos-en-cancun,"“En la red social, ONU Mujeres manifestó que se solidariza con las mujeres que exigen un alto a la violencia y piden justicia para las víctimas de feminicidio “y reconoce su contribución a la construcción de una sociedad más justa, más segura y más igualitaria”."
10/11/2020,El economista,Piden castigo para quienes ordenaron reprimir protesta en Cancún,https://www.eleconomista.com.mx/estados/Piden-castigo-para-quienes-ordenaron-reprimir-protesta-en-Cancun-20201110-0029.html,"La manifestación inició en punto de las 17 horas del lunes; el contingente de aproximadamente 400 personas, en su mayoría mujeres, partió de la Glorieta del Ceviche en el centro de Cancún hacia la Vicefiscalía General del Estado, donde los manifestantes gritaron consignas, realizaron pintas y desmontaron el escudo metálico de Quintana Roo que adornaba la fachada de la dependencia en la avenida Cobá, además de prender fuego a la entrada del edificio. "
11/11/20,DW,México: condenan represión de marcha feminista en Cancún,https://www.dw.com/es/m%C3%A9xico-condenan-represi%C3%B3n-de-marcha-feminista-en-canc%C3%BAn/a-55559552,"En la conferencia, la alcaldesa habló de varios detenidos, sin concretar una cifra, que fueron liberados durante la noche; se refirió a las investigaciones iniciadas a seis policías y aseguró que van a continuar hasta que se esclarezcan los hechos. Además, esta mañana, el director de Seguridad Pública de Benito Juárez (municipio cuya cabecera es Cancún), Eduardo Santamaría, fue separado de su cargo mientras que el secretario general del Ayuntamiento, Isaac Janix, dimitió."
09/11/2020,Telediario,eprueban colectivos feministas y asociaciones civiles represión contra feministas en Cancún,https://mty.telediario.mx/nacional/reprueban-colectivos-feministas-y-asociaciones-civiles-represion-contra-feministas-en-cancun,"Asimismo el consejo consultivo 33 mujeres A.C. reprobaron la forma violenta y violatoria a los derechos humanos en la que fue reprimida la manifestación el día de hoy, por lo cual manifestaron esperan se aplique todo el peso de la ley a quienes resulten responsables."
